"time","MCF-LW12CO2.mean_humidity","MCF-LW12CO2.mean_temperature"
"2021-11-24T08:40:00.000+01:00","28.5","21.68"
"2021-11-24T09:08:00.000+01:00","29","21.68"
"2021-11-24T09:36:00.000+01:00",,
"2021-11-24T10:04:00.000+01:00","29","21.74"
"2021-11-24T10:32:00.000+01:00","29.5","21.71"
"2021-11-24T11:00:00.000+01:00","30","21.72"
"2021-11-24T11:28:00.000+01:00","30","21.76"
"2021-11-24T11:56:00.000+01:00","30","21.83"
"2021-11-24T12:24:00.000+01:00","30.5","21.82"
"2021-11-24T12:52:00.000+01:00","30.5","21.86"
"2021-11-24T13:20:00.000+01:00","30.5","21.92"
"2021-11-24T13:48:00.000+01:00","30.5","21.9"
"2021-11-24T14:16:00.000+01:00","31","21.87"
"2021-11-24T14:44:00.000+01:00","31","21.84"
"2021-11-24T15:12:00.000+01:00","30.5","21.82"
"2021-11-24T15:40:00.000+01:00",,
"2021-11-24T16:08:00.000+01:00","30","21.8"
"2021-11-24T16:36:00.000+01:00","30","21.79"
"2021-11-24T17:04:00.000+01:00","30","21.84"
"2021-11-24T17:32:00.000+01:00","30","21.9"
"2021-11-24T18:00:00.000+01:00","29.5","21.86"
"2021-11-24T18:28:00.000+01:00","29.5","21.87"
"2021-11-24T18:56:00.000+01:00","29.5","21.9"
"2021-11-24T19:24:00.000+01:00","29.5","21.92"
"2021-11-24T19:52:00.000+01:00","29.5","21.97"
"2021-11-24T20:20:00.000+01:00","29.5","21.98"
"2021-11-24T20:48:00.000+01:00","29.5","21.98"
"2021-11-24T21:16:00.000+01:00","30","21.99"
"2021-11-24T21:44:00.000+01:00",,
"2021-11-24T22:12:00.000+01:00","30.5","21.98"
"2021-11-24T22:40:00.000+01:00","31","21.95"
"2021-11-24T23:08:00.000+01:00","31.5","21.96"
"2021-11-24T23:36:00.000+01:00","31.5","21.93"
"2021-11-25T00:04:00.000+01:00","32","21.93"
"2021-11-25T00:32:00.000+01:00","32","21.88"
"2021-11-25T01:00:00.000+01:00","32.5","21.87"
"2021-11-25T01:28:00.000+01:00","32.5","21.88"
"2021-11-25T01:56:00.000+01:00","32.5","21.89"
"2021-11-25T02:24:00.000+01:00","32.5","21.91"
"2021-11-25T02:52:00.000+01:00","32.5","21.91"
"2021-11-25T03:20:00.000+01:00","32.5","21.93"
"2021-11-25T03:48:00.000+01:00",,
"2021-11-25T04:16:00.000+01:00","32.5","21.96"
"2021-11-25T04:44:00.000+01:00","32.5","21.99"
"2021-11-25T05:12:00.000+01:00","32.5","22.02"
"2021-11-25T05:40:00.000+01:00","32.5","22.07"
"2021-11-25T06:08:00.000+01:00","32.5","22.11"
"2021-11-25T06:36:00.000+01:00","32.5","22.15"
"2021-11-25T07:04:00.000+01:00","32.5","22.15"
"2021-11-25T07:32:00.000+01:00","33","22.1"
"2021-11-25T08:00:00.000+01:00","33","22.04"
"2021-11-25T08:28:00.000+01:00","33","22.02"
"2021-11-25T08:56:00.000+01:00","33.5","22.03"
"2021-11-25T09:24:00.000+01:00","33.5","22.05"
"2021-11-25T09:52:00.000+01:00","33.5","22.1"
"2021-11-25T10:20:00.000+01:00",,
"2021-11-25T10:48:00.000+01:00","34","22.12"
"2021-11-25T11:16:00.000+01:00","34","22.13"
"2021-11-25T11:44:00.000+01:00","34","22.12"
"2021-11-25T12:12:00.000+01:00","34","22.2"
"2021-11-25T12:40:00.000+01:00","33.5","22.18"
"2021-11-25T13:08:00.000+01:00","33","22.31"
"2021-11-25T13:36:00.000+01:00","33","22.33"
"2021-11-25T14:04:00.000+01:00","32.5","22.35"
"2021-11-25T14:32:00.000+01:00","32","22.41"
"2021-11-25T15:00:00.000+01:00","31.5","22.43"
"2021-11-25T15:28:00.000+01:00","31.5","22.43"
"2021-11-25T15:56:00.000+01:00","31","22.38"
"2021-11-25T16:24:00.000+01:00",,
"2021-11-25T16:52:00.000+01:00","30.5","22.32"
"2021-11-25T17:20:00.000+01:00","30","22.28"
"2021-11-25T17:48:00.000+01:00","29.5","22.25"
"2021-11-25T18:16:00.000+01:00","30","22.21"
"2021-11-25T18:44:00.000+01:00","30.5","22.24"
"2021-11-25T19:12:00.000+01:00","30","22.25"
"2021-11-25T19:40:00.000+01:00","29.5","22.29"
"2021-11-25T20:08:00.000+01:00","29","22.29"
"2021-11-25T20:36:00.000+01:00","28.5","22.29"
"2021-11-25T21:04:00.000+01:00","28","22.29"
"2021-11-25T21:32:00.000+01:00","27.5","22.27"
"2021-11-25T22:00:00.000+01:00","26.5","22.27"
"2021-11-25T22:28:00.000+01:00",,
"2021-11-25T22:56:00.000+01:00","26","22.24"
"2021-11-25T23:24:00.000+01:00","26","22.21"
"2021-11-25T23:52:00.000+01:00","25.5","22.18"
"2021-11-26T00:20:00.000+01:00","25","22.15"
"2021-11-26T00:48:00.000+01:00","24.5","22.11"
"2021-11-26T01:16:00.000+01:00","24.5","22.08"
"2021-11-26T01:44:00.000+01:00","24","22.05"
"2021-11-26T02:12:00.000+01:00","24","22.01"
